instruction,input,news_publisher,event_date,english_comment_text,comment_text,anger_intensity,fear_intensity,joy_intensity,emotional_classification,pred_stance
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `They said to find people infected with COVID to be in the front row, take off their masks and hug the police.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2021-07-17,"They said to find people infected with COVID to be in the front row, take off their masks and hug the police.",บอกว่าให้หาคนติดโควิดไปเป็นแถวหน้าถอดหน้ากากเข้ากอดตำรวจไป,0.396,0.438,0.292,"anger, disgust.",Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `I understand you don't want to get vaccinated but please wear a mask for your own sake.` on topic of `fask masks`,เรื่องเล่าเช้านี้,2021-12-05,I understand you don't want to get vaccinated but please wear a mask for your own sake.,ไม่ฉีดพอเข้าใจค่ะแต่ใส่แมสเถอะนะคะเพื่อตัวคุณเอง,0.396,0.396,0.292,"joy, optimism, sadness, trust.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Nobody wears a mask, they have parties and drink alcohol.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2020-07-02,"Nobody wears a mask, they have parties and drink alcohol.",ไม่มีใคร ใส่ หน้ากากอนามัย ปาร์ตี้ ดื่มเหล้า กันหรอกค้าบ,0.438,0.33,0.292,"anticipation, joy, sadness.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `Even a mask doesn't want to stay on the face of an evil person. You wear a mask every day.` on topic of `fask masks`,เรื่องเล่าเช้านี้,2020-04-01,Even a mask doesn't want to stay on the face of an evil person. You wear a mask every day.,ขนาดหน้ากาก ยังไม่อยากอยู่บนหน้าคนชั่ว ทุกวันนี้มึงก็ใส่หน้ากาก,0.396,0.479,0.292,"anticipation, disgust, fear.",Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `A surgeon wears PPE, which is expected to prevent infection, but we are doctors at the clinic.... even masks are rarely available.  Some patients come in coughing with a fever waiting to be examined, with masks on and off. When asked if they have a mask...they say they have it, kept in the car or at home. Think about it, what if they have COVID.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2020-03-13,"A surgeon wears PPE, which is expected to prevent infection, but we are doctors at the clinic.... even masks are rarely available.  Some patients come in coughing with a fever waiting to be examined, with masks on and off. When asked if they have a mask...they say they have it, kept in the car or at home. Think about it, what if they have COVID.","หมอผ่าตัด ใส่ชุด PPE ซึ่งคาดว่าป้องกันเชื้อได้ แต่เราเป็นหมอที่คลินิก....แม้แต่หน้ากาก ยังไม่ค่อยมีให้ใส่ 
คนไข้บางคนไอมาไข้มา รอตรวจหน้ากาก ใส่บ้างไม่ใส่บ้าง ถามว่ามีหน้ากากมั้ย...บอกว่ามี เก็บไว้ในรถบ้าง
 เก็บไว้ที่บ้านบ้าง.....ก็ลองคิดดูเอา มีCOVIDสักค",0.479,0.583,0.214,"anger, disgust, fear, sadness.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `It's up to you whether you want to get vaccinated, but please don't take off your masks or not wear them in public. It sets a bad example, and other people will follow suit. Please be considerate of everyone.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2021-12-05,"It's up to you whether you want to get vaccinated, but please don't take off your masks or not wear them in public. It sets a bad example, and other people will follow suit. Please be considerate of everyone.",ฉีดไม่ฉีดแล้วแต่พวกคุณครับ แต่อย่าถอดแมสหรือไม่ใส่แมสในที่สาธารณเลยครับ มันจะเป็นตัวอย่างที่ไม่ดี ชาวบ้านจะเรียนแบบเอา เห็นใจส่วนรวมนะครับ,0.393,0.396,0.214,"anticipation, joy, optimism, sadness, trust.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `China just announced a lockdown, and Thailand wants to take off masks? Don't you dare, old man.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2022-03-17,"China just announced a lockdown, and Thailand wants to take off masks? Don't you dare, old man.",พี่จีนพึ่งประกาศล๊อคดาว ประเทศไทยจะให้ถอดหน้ากากแล้วหรอ อย่าหาทำนะลุง,0.52,0.52,0.21,"anger, disgust.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Our local herbs can fight it. Look for them and eat them, like what people are using these days. Whether it's Fah Talai Jone, fingerroot with honey and lime, shallots with salt, etc. It's definitely better than foreign medicine. Personally, I work in a high-risk group, I drink fingerroot juice every day, wear a double mask to completely cover the holes on my face, and use alcohol gel.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2021-08-01,"Our local herbs can fight it. Look for them and eat them, like what people are using these days. Whether it's Fah Talai Jone, fingerroot with honey and lime, shallots with salt, etc. It's definitely better than foreign medicine. Personally, I work in a high-risk group, I drink fingerroot juice every day, wear a double mask to completely cover the holes on my face, and use alcohol gel.",สมุนไพรบ้านเราต้านได้ครับ หาทานเอาครับ ตามที่มีคนใช้อยู่ทุกวันนี้ ไม่ว่าจะเป็นฟ้าทะลายโจร กระชายขาวน้ำผึ้งมะนาว หอมแดงจิ้มเกลือ ฯลฯ ดีกว่ายาฝรั่งแน่นอน ส่วนตัวผมผมทำงานอยู่ในกลุ่มเสี่ยง ทานน้ำกระชายขาวทุกวัน ใส่แมส2ชั้นให้ปิดรูบนใบหน้าให้มิดชิด พกเจลแอลกอ,0.333,0.396,0.39,"joy, optimism.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `The Minister of Health and their entourage 
Speaking publicly about the virus “but not wearing a mask”, not even one person 🤔🤔🤔
But when foreigners don't accept masks and don't wear masks, they get furious 🤪🤪🤪` on topic of `fask masks`",เรื่องเล่าเช้านี้,2020-03-15,"The Minister of Health and their entourage 
Speaking publicly about the virus “but not wearing a mask”, not even one person 🤔🤔🤔
But when foreigners don't accept masks and don't wear masks, they get furious 🤪🤪🤪","รมตกระทรวงสา และผู้ติดตาม 
ออกมาพูดในที่สาธารณะเรื่องไวรัส “แต่ไม่ใส่แมส” ซักคน 🤔🤔🤔
พอฝรั่งไม่รับแมสไม่ใส่แมส ก็เกี้ยวกราด  🤪🤪🤪",0.479,0.479,0.271,"anger, disgust.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `It's better to tell the foreigners who come in to wear masks, Anutin. Thai people already wear them.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2022-05-13,"It's better to tell the foreigners who come in to wear masks, Anutin. Thai people already wear them.",ไปพูดกับต่างชาติที่เข้ามาดีกว่าอนุทินให้เขาใส่แมสคนไทยใส่กันอยู่แล้ว,0.396,0.333,0.333,"joy, optimism.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `It's those old men again. Just run at home, dude, you can take it off as you please. I get it, running with a mask on could kill you 😅` on topic of `fask masks`",เรื่องเล่าเช้านี้,2021-07-22,"It's those old men again. Just run at home, dude, you can take it off as you please. I get it, running with a mask on could kill you 😅",มนุษย์ลุงอีกแระ วิ่งที่บ้านสิครับ ถอดตามสบายเลย ผมเข้าใจนะ วิ่งก็ต้องถอด ใส่แมสวิ่งมีสิทธิตาย😅,0.392,0.479,0.392,"joy, fear.",Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Even with masks, they're getting infected like this. Without masks, they'd be dropping like flies.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2022-03-17,"Even with masks, they're getting infected like this. Without masks, they'd be dropping like flies.",ขนาดใส่แมสติดขนาดนี้ไม่ใส่คงเป้นใบไม้ร่วง,0.479,0.62,0.21,fear.,Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `This is a life-threatening epidemic, not the flu. If you're afraid of wasting paper masks, aren't you afraid of dying? I only use paper masks. When I take them off, I throw them away and don't reuse them. If you don't love yourself, you might get sick and die. I live abroad. When COVID-19 first hit, I hired a Japanese friend to sew me cloth masks.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2021-06-28,"This is a life-threatening epidemic, not the flu. If you're afraid of wasting paper masks, aren't you afraid of dying? I only use paper masks. When I take them off, I throw them away and don't reuse them. If you don't love yourself, you might get sick and die. I live abroad. When COVID-19 first hit, I hired a Japanese friend to sew me cloth masks.",นี่มันโรคระบาดถึงชีวิตน่ะ.ไม่ใช่ไข้หวัด..ถ้าการใช้แมสกระดาษกลัวเปือง.แล้วไม่กลัวตายเหรอ.ขนาดเราใช้แตแมสกระดาษ.ถ้าถอดแล้วทิ้งเลย..เอามาวางใช้ซ้ำซากไม่ได้..ถ้าไม่รักตัวเองก็อาจติดโรคตายน่ะ..เราอยู่ต่างประเทศ.ตอนโควิดมาใหม่ๆ..เราจ้างเพื่อนญี่ปุ่นเย็บแมสผ้าให,0.479,0.62,0.2,"fear, love.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `Wear it! My face will be shaped like a mask by the time I can take it off.` on topic of `fask masks`,เรื่องเล่าเช้านี้,2021-06-28,Wear it! My face will be shaped like a mask by the time I can take it off.,ใส่ซ่ะหน้าตูเป็นรูปหน้ากากล่ะเวลาถอด,0.479,0.479,0.312,"anticipation, disgust, joy, sadness.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I don't know, we have to protect ourselves first, wear a mask, wash our hands frequently.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2022-11-24,"I don't know, we have to protect ourselves first, wear a mask, wash our hands frequently.",ไม่รู้ละเราต้องเซฟตัวเราก่อนใส่แมสล้างมือบ่อยๆ,0.396,0.583,0.231,"anticipation, fear, optimism.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Take good care of yourselves and be careful!!! Most people don't cry until they see a coffin. Even during a severe outbreak, you can still see careless people not wearing masks.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2021-04-26,"Take good care of yourselves and be careful!!! Most people don't cry until they see a coffin. Even during a severe outbreak, you can still see careless people not wearing masks.",ป้องกันดูแลตัวเองดีๆ!!! ส่วนมากคนเราไม่เห็นโลงจะไม่หลั่งน้ำตา ขนาดระบาดหนักยังเห็นคนมักง่ายไม่ใส่แมสอยู่เลย,0.479,0.583,0.2,"fear (optimism, sadness).",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Yes, most of them are Delta variant. And it's very contagious. People are getting infected even with masks on. It spreads through the air. I recommend wearing two masks now.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2021-08-07,"Yes, most of them are Delta variant. And it's very contagious. People are getting infected even with masks on. It spreads through the air. I recommend wearing two masks now.",ใช่ค่ะ ส่วนใหญ่เดลต้าค่ะ แล้วติดง่ายแพร่พันธุ์ง่ายมากก ใส่แมสก็ยังติดเลย มันฟุ้งกระจายตามละอองอากาศ แนะนำเลยตอนนี้ใส่แมส2ชั้น ค่ะ,0.438,0.62,0.214,fear.,Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Our prime minister, what's he wearing a mask for? To cover up his bad breath? LOL.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2020-03-19,"Our prime minister, what's he wearing a mask for? To cover up his bad breath? LOL.",นายกของเราเข้าใส่แมสปิดอะไรอะปิดกลิ่นปากหรอ55,0.393,0.229,0.532,"joy, surprise.",Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `In Sisaket Province, officials are letting COVID patients travel back home by themselves using their own vehicles. They advised patients to sit in the back of a pickup truck, wear a mask, and not get out of the car until they reach the hospital. 
This is not right. 1. The patient may not have a pickup truck. If they have to hire a driver, who would be willing to drive a COVID patient?` on topic of `fask masks`",เรื่องเล่าเช้านี้,2021-06-30,"In Sisaket Province, officials are letting COVID patients travel back home by themselves using their own vehicles. They advised patients to sit in the back of a pickup truck, wear a mask, and not get out of the car until they reach the hospital. 
This is not right. 1. The patient may not have a pickup truck. If they have to hire a driver, who would be willing to drive a COVID patient?","จังหวัดศรีสะเกษ  เจ้าหน้าที่ให้ผู้ป่วยโควิดเดินทางกลับเอง โดยให้ใช้รถส่วนตัว แนะนำให้ผู้ป่วยนั่งกระบะท้าย ใส่แมส  ห้ามลงจากรถจนกว่าจะถึงโรงพยาบาล
คือแบบนี้มันก็ไม่ใช่แล้ว    ข้อที่ 1.ผู้ป่วยไม่มีรถกระบะ หากจะจ้างรถรับจ้าง ใครจะยอมขับรถให้ผู้ป่วยโควิดนั่งม",0.5,0.5,0.208,"disgust, fear.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I haven't been vaccinated yet. I don't trust it. I wear a mask, wash my hands, and keep my distance.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2021-06-17,"I haven't been vaccinated yet. I don't trust it. I wear a mask, wash my hands, and keep my distance.",ผมยังไม่ฉีดเลย ไม่ไว้ใจครับ ใส่แมสล้างมือ เว้นระยะห่างกันครับ,0.393,0.583,0.231,"fear, pessimism.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `You need to educate people about the dangers of the disease, campaign for people to wear masks in every province, clean public areas, stop doing business, and much more.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2020-03-16,"You need to educate people about the dangers of the disease, campaign for people to wear masks in every province, clean public areas, stop doing business, and much more.",คุณต้องให้ความรู้ความอัตรายกับโรค รณรงค์ ให้คนใส่แมสให้ทุกจังหวัด ทำความสะอาดทีสาธารณะ งดทำกิจการ  และอื่นๆอีกมากมาย,0.479,0.583,0.23,"anticipation, fear, optimism.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `You should remove it first and then walk around the police station, department store, air-conditioned office, market, crowded shop. Let's see what happens.... People who don't wear it are important, they will bring the infection... People who don't wear a mask, don't love themselves, then it's up to them...` on topic of `fask masks`",เรื่องเล่าเช้านี้,2022-03-17,"You should remove it first and then walk around the police station, department store, air-conditioned office, market, crowded shop. Let's see what happens.... People who don't wear it are important, they will bring the infection... People who don't wear a mask, don't love themselves, then it's up to them...",ท่านถอดเปนคนแรกสิ แล้วเดินไปตามรงบาล  ห้างสรรพสินค้า สำนักงานห้องแอร์ ตลาด ร้านค้าคนเยอะ ๆ  ดูสิ จะเปนยังงัย....คนไม่ใส่นั่นแหละสำคัญมันจะเอาเชื้อมาฝากนะสิ...คนไม่ใส่แมส ไม่รักตัวเองก้อแล้วแต่ตัวเขา...,0.396,0.479,0.271,"anticipation, disgust, optimism.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Who didn't get vaccinated here?
You should have a choice.

Everyone should wear a mask.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2021-12-05,"Who didn't get vaccinated here?
You should have a choice.

Everyone should wear a mask.","ใครไม่ฉีดตรงนี้
ควรเลือกได้

ทุกท่านควรใส่แมส",0.396,0.396,0.292,"anticipation, fear.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Sigh, this morning I watched basketball. I saw Americans cheering like, what is COVID? I'm so envious. They live a normal life, cheering for basketball, almost a hundred thousand people close together. No need for masks. I wish our leaders were like that. Uncle Tu is truly trash, there's nothing comparable. Worse than the animals we use to curse. If he...` on topic of `fask masks`",เรื่องเล่าเช้านี้,2021-07-21,"Sigh, this morning I watched basketball. I saw Americans cheering like, what is COVID? I'm so envious. They live a normal life, cheering for basketball, almost a hundred thousand people close together. No need for masks. I wish our leaders were like that. Uncle Tu is truly trash, there's nothing comparable. Worse than the animals we use to curse. If he...",เห้อ เมื่อเช้าผมดูบาสมา เห็นคนอเมริกาเค้าออกมาเชียร์แบบ โควิดคืออะไร ผมโครตจะอิจฉาเลย เค้าใช้ชีวิตปกติ เชียร์บาสติดกันเกือบแสนคน แมสก์ไม่ต้องใส่  อยากให้ผู้นำเราเป็นแบบนั้นบ้างจัง ลุงตู่อะ เลวของแท้ ไม่มีอะไรจะเทียบได้ เลวยิ่งกว่าสัตว์ที่พวกเราใช้ด่า ถ้าเ,0.52,0.396,0.188,"anger, disgust, joy, sadness.",Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `How can they not get infected?  Looking at the news, some vendors, some shoppers, are still not wearing masks properly. Some pull it down to their chin, some let their nose stick out.  Why aren't they aware and scared?` on topic of `fask masks`",เรื่องเล่าเช้านี้,2021-07-02,"How can they not get infected?  Looking at the news, some vendors, some shoppers, are still not wearing masks properly. Some pull it down to their chin, some let their nose stick out.  Why aren't they aware and scared?",แล้วมันจะไม่ติดได้ยังไง ดูในข่าว พ่อค้าบางคน คนเดินซื้อบางคน ยังไม่ใส่แมสดี ๆ เลย เอาลงคางบ้าง โผล่จมูกออกมาบ้าง ทำไมไม่ตระหนักกลัวกันเลย,0.521,0.562,0.2,"anger, disgust, fear.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Protesting is their right, but... but can you please wear a mask so that others won't be affected?` on topic of `fask masks`",เรื่องเล่าเช้านี้,2021-12-05,"Protesting is their right, but... but can you please wear a mask so that others won't be affected?",ประท้วงมันก็สิทธิของใครของมันแต่.แต่สวมแมสหน่อยดีไหมคะคนอื่นจะได้ไม่เดือดร้อน,0.438,0.5,0.292,"anticipation, fear, trust.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `So, do masks actually help prevent the spread of disease or not? All you stubborn people, if you don't have immunity, you'll get infected. If it's not treated properly, you'll die. Stop acting so recklessly and senselessly. When every system fails, everything collapses.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2021-06-24,"So, do masks actually help prevent the spread of disease or not? All you stubborn people, if you don't have immunity, you'll get infected. If it's not treated properly, you'll die. Stop acting so recklessly and senselessly. When every system fails, everything collapses.",ตกลงใส่แมสมันช่วยไม่ให้ติดโรคได้ไหม โคถึกทั้งหลายเอ๋ย ภูมิร่างกายมันไม่มีมันก็ติด รักษาไม่เป็นมันก็ตาย เลิกทำอะไรแบบไร้สติไร้ปัญญากันสะทีเถอะ ล้มเหลวทุกระบบมันก็พัง,0.521,0.583,0.12,"anger, fear.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Thais are ridiculous. People around the world are still getting infected with COVID, but they just don't report it anymore because it's pointless. It's a waste of life to quarantine yourself waiting to die. People traveled to watch the World Cup without masks, stadiums were packed. In football leagues, people sit so close they're practically shitting on each other. LOL.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2022-11-24,"Thais are ridiculous. People around the world are still getting infected with COVID, but they just don't report it anymore because it's pointless. It's a waste of life to quarantine yourself waiting to die. People traveled to watch the World Cup without masks, stadiums were packed. In football leagues, people sit so close they're practically shitting on each other. LOL.",คนไทยไร้สาระ ทั่วโลกเขาก็ยังติดโควิดกันอยู่เพียงแต่เขาไม่ออกข่าวแล้ว เพราะมันไร้สาระ เสียเวลาชีวิตที่ต้องกักตัวรอวันตาย บอลโลกคนเดินทางไปดูบอล แมสไม่ใส่ นั่งเต็มสนาม ฟุตบอลลีค แต่ละลีคนั่งกันจนจะขี้คอกันแล้ว 555,0.562,0.393,0.188,"anger, disgust, joy, sadness.",Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `Looking for people to beat up those who don't wear masks. Anyone want to join? 🤣🤣` on topic of `fask masks`,เรื่องเล่าเช้านี้,2021-07-22,Looking for people to beat up those who don't wear masks. Anyone want to join? 🤣🤣,รับจ้างกระทืบคนไม่ใส่แมสใครจะเป็นสมาชิกบ้าง🤣🤣,0.625,0.333,0.333,"anger, disgust.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Why are you making it sound so simple? Everyone has a mask, it's whether they choose to wear it or not. Are you going to abandon the people now?!?!?` on topic of `fask masks`",เรื่องเล่าเช้านี้,2020-12-27,"Why are you making it sound so simple? Everyone has a mask, it's whether they choose to wear it or not. Are you going to abandon the people now?!?!?",ทำไมพูดง่ายจัง หน้ากากมีทุกคน ว่าแต่จะเลือกใส่หรือไม่ใส่ จะเท ปชช แล้วเหรอ!!!,0.625,0.52,0.22,"anticipation, anger, fear, sadness.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `In my hometown, Trang Province, the police only make you pay a 200 baht fine if you don't wear a mask.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2021-04-27,"In my hometown, Trang Province, the police only make you pay a 200 baht fine if you don't wear a mask.",ที่บ้านผมจังหวัดตรังตำรวจเอาไปจ่ายเสียเองแค่200ครับไม่ใส่แมส,0.396,0.33,0.32,joy.,Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `People in Europe have been taking off their masks for almost a year now. No need to wear them anymore, it's endemic all over the world. Tourists will come to Thailand a lot.  I'm rooting for Uncle Tu (Prayut).` on topic of `fask masks`",เรื่องเล่าเช้านี้,2022-06-25,"People in Europe have been taking off their masks for almost a year now. No need to wear them anymore, it's endemic all over the world. Tourists will come to Thailand a lot.  I'm rooting for Uncle Tu (Prayut).",อยู่ยุโปรเค้าถอดแมสมาจะเป็นปีแล้วคร้าาา ไม่ต้องใส่แล้วมันเป็นกันทั่วโลกเป็นโรคพื้นถิ่นไปแล้ว นักท่องเที่ยวจะได้มาไทยเยอะๆ เป็นกำลังใจให้ลุงตู่,0.292,0.292,0.392,"joy, optimism.",Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `Take care of yourself and continue wearing a mask. I'm used to it now.` on topic of `fask masks`,เรื่องเล่าเช้านี้,2022-03-17,Take care of yourself and continue wearing a mask. I'm used to it now.,ดูแลตัวเองใส่แมสต่อไป ชินแล้ว,0.292,0.32,0.32,"joy, optimism.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `The embankment at Samut Prakan City Hall is still open for people to exercise, walk, run, etc. There are a lot of people gathering there which could lead to the spread of the Covid-19 virus. Most people who come to exercise don't wear masks.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2021-07-18,"The embankment at Samut Prakan City Hall is still open for people to exercise, walk, run, etc. There are a lot of people gathering there which could lead to the spread of the Covid-19 virus. Most people who come to exercise don't wear masks.",ริมเขื่อนศาลากลางสมุทรปราการ..ยังเปิดให้คนมาออกกำลังกาย.เดิน วิ่ง อื่นๆ..ซึ่งมีคนมารวมตัวกันจำนาวมากอาจจะก่อให้เกิดการแพร่ของเชื่อไวนัน โควิด 19 ได้....เพราะคนที่มาออกกำลังกายส่วนมากไม่ใส่แมส,0.438,0.479,0.292,fear.,Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `Why didn't they wear a mask?` on topic of `fask masks`,เรื่องเล่าเช้านี้,2021-05-13,Why didn't they wear a mask?,ทำไมไม่ใส่แมส,0.438,0.438,0.208,"anticipation, disgust, fear, sadness.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I didn't get vaccinated, it's fine.  But wear a mask, quickly.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2021-12-05,"I didn't get vaccinated, it's fine.  But wear a mask, quickly.",ไม่ฉีด ไม่เป็นไร  แต่ ใส่แมส ด่วน,0.312,0.33,0.25,"joy, optimism.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I wear two masks, a doctor's mask on the inside and a cloth mask on the outside.` on topic of `fask masks`",เรื่องเล่าเช้านี้,2021-06-28,"I wear two masks, a doctor's mask on the inside and a cloth mask on the outside.",หนูใส่สองชั้น หน้ากากแบบหมอข้างใน และหน้ากากผ้า สวมทับด้านนอก,0.333,0.396,0.292,"anticipation, fear.",Favorable
