instruction,input,news_publisher,event_date,english_comment_text,thai_comment_text
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `Those who got vaccinated are the ones who brought the virus to infect those who didn't. It violates people's rights too much. They don't even wear masks!` on topic of `fask masks`,TNN,2021-11-20,Those who got vaccinated are the ones who brought the virus to infect those who didn't. It violates people's rights too much. They don't even wear masks!,คนที่ฉีดวัคซีนนั่นแหละนำเชี้อมาติดคนที่ไม่ติดวัคซินมันละเมิดสิทธิ์ฃองคนมากเกินไปแมสก็ไม่ใส่
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `It's very scary. Sigh, so bad, this germ warfare. It's just the flu, but...it's a very serious germ, be careful. Those vendors don't like to wear masks, I see it all the time. When I asked her, she said it's hot. But then I look at myself, huh, I'm wearing one and it's not hot, it's strange. We're all human. Oh, you say it's hot.` on topic of `fask masks`",TNN,2021-02-14,"It's very scary. Sigh, so bad, this germ warfare. It's just the flu, but...it's a very serious germ, be careful. Those vendors don't like to wear masks, I see it all the time. When I asked her, she said it's hot. But then I look at myself, huh, I'm wearing one and it's not hot, it's strange. We're all human. Oh, you say it's hot.","น่ากลัวมากๆ เฮ้อๆๆ แย่ๆๆ สงครามเชื้อโรค
มันก็คือไข้หวัดนั้นล่ะ แต่..เป็นเชื้อโรคร้ายแรงจ้าๆๆ ระวังตัวกันนะ พวกแม่ค้าไม่ชอบสวมหน้ากาก เห็นประจำ พอถามนางบอกว่าร้อน  ทีนี้มามองตัวเอง อ้าวๆ กูใส่กูไม่ร้อนหรือไง มันแปลกๆ เราก็คนเหมือนกัน
คือ อ้าวๆ มึงบอกร้อนมั"
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Sending love and support to all countries around the world. I wish everyone safety. I am not afraid because I am not careless. Stay mindful, take care of your health the best you can. Wear a mask, wash your hands frequently. Stay healthy, eat nutritious food, exercise, get enough rest. Avoid crowded places unless necessary. Be prepared and...` on topic of `fask masks`",TNN,2022-01-09,"Sending love and support to all countries around the world. I wish everyone safety. I am not afraid because I am not careless. Stay mindful, take care of your health the best you can. Wear a mask, wash your hands frequently. Stay healthy, eat nutritious food, exercise, get enough rest. Avoid crowded places unless necessary. Be prepared and...",เป็นกำลังใจให้ทุกประเทศทั่วโลก ขอให้ทุกคนทั่วโลกปลอดภัยคะเราไม่กลัว เพราะไม่ประมาท มีสติ ดูแลรักษาสุขภาพให้ดีที่สุด ใส่แมส ล้างมือบ่อยๆ รักษาสุขภาพให้แข็งแรงทานอาหารที่มีประโยชน์ออกกำลังกายพักผ่อนให้เพียงพอ ไม่ไปในที่พลุกพล่านถ้าไม่จำเป็น เตรียมตัวเตรียมค
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `The vendor didn't wear a mask.... A source of infection in the middle of the market.` on topic of `fask masks`,TNN,2021-02-14,The vendor didn't wear a mask.... A source of infection in the middle of the market.,แม่ค้าไม่ใส่แมส....ตัวแพร่เชื้อปากตลาดแตก
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `Many good quality cloth masks are better than medical masks. Some brands even use N95 layers and have water-repellent outer fabric.` on topic of `fask masks`,TNN,2021-06-29,Many good quality cloth masks are better than medical masks. Some brands even use N95 layers and have water-repellent outer fabric.,หน้ากากผ้าดีๆหลายๆยี่ห้อดีกว่าหน้ากากอนามัยอีกครับบางยี่ห้อเอาชั้นของN95มาใส่ ผ้าด้านนอกสะท้อนน้ำอีก
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Instead of giving out money to help people, they come up with crazy rules. People are already afraid of dying and wearing masks on their own. Trying to find ways to extort money.` on topic of `fask masks`",TNN,2021-04-27,"Instead of giving out money to help people, they come up with crazy rules. People are already afraid of dying and wearing masks on their own. Trying to find ways to extort money.",แทนที่จะมาแจกเงินช่วยคนมาปรับบ้าบอคอแตก  คนมันกลัวตายใส่แมสเองอยู่แล้ว  หาเรื่องไถเงิน
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `They went to soak themselves in the water to cleanse their sins. Almost no one was wearing a mask. My condolences. This is truly God's punishment.` on topic of `fask masks`,TNN,2021-04-27,They went to soak themselves in the water to cleanse their sins. Almost no one was wearing a mask. My condolences. This is truly God's punishment.,ลงไปแช่น้ำชำระบาป ขนาดนั้น ทุกคนแทบไม่สวมแมสกันเลย ขอเเสดงความเสียใจด้วย พระเจ้าชำระบาปที่แท้ทรู
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Why are you all so panicked? Still not used to it or what? Besides, the infection rate isn't as high as it used to be because more than 90% of people are wearing masks everywhere. What's there to be panicked about? You stupid idiots, so foolish.` on topic of `fask masks`",TNN,2020-07-13,"Why are you all so panicked? Still not used to it or what? Besides, the infection rate isn't as high as it used to be because more than 90% of people are wearing masks everywhere. What's there to be panicked about? You stupid idiots, so foolish.",ตื่นตูมห่าไรกันนัก ยังไม่ชินอีกหรือไง อีกอย่างตอนนี้ไม่ติดมากเหมือนเมื่อก่อนแล้ว เพราะคนเราใส่แมสมากกว่า 90% ทุกพื้นที่ จะตื่นตูมทำห่าไรนัก ไอ้พวก กาก ทั้งหลาย ปัญญาอ่อนมาก
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `They don't wear masks in America. Disappointing. But I wear one all the time.` on topic of `fask masks`,TNN,2020-06-25,They don't wear masks in America. Disappointing. But I wear one all the time.,อยู่อเมริกาไม่ใส่แมสเลย อ่อนใจ แต่ฉันใส่ตลอดเวลา
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I'm afraid the Election Commission will touch their face with their hands. Actually, there is a correct way to remove and wear a mask without touching the mask itself. This knowledge should be offered to the Election Commission.` on topic of `fask masks`",TNN,2020-05-15,"I'm afraid the Election Commission will touch their face with their hands. Actually, there is a correct way to remove and wear a mask without touching the mask itself. This knowledge should be offered to the Election Commission.",กลัวปปช จะเอามือไปถูที่ที่หน้า ที่จริงมันมีวิธีถอดหน้ากากใส่หน้ากากที่ถูกต้องโดยไม่สัมผัสหน้ากาก ควรจะเสนอองค์ความรู้นี้ให้ปปช มากกว่านะ
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `No wonder, they barely wear masks.` on topic of `fask masks`",TNN,2021-04-21,"No wonder, they barely wear masks.",ไม่ค่อยใส่แมสกันเลยถึงว่า
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `It's obvious that it's airborne, but it still comes from the lungs of the infected person. The WHO is always slow to react. Only after half of America died did they realize that people should wear masks to help prevent COVID-19?? Trump doesn't like the WHO because they're slow, so he cut their funding. By the time they make an announcement, everyone already knows. Waste.` on topic of `fask masks`",TNN,2021-05-04,"It's obvious that it's airborne, but it still comes from the lungs of the infected person. The WHO is always slow to react. Only after half of America died did they realize that people should wear masks to help prevent COVID-19?? Trump doesn't like the WHO because they're slow, so he cut their funding. By the time they make an announcement, everyone already knows. Waste.",มันแน่นอนอยู่แล้วไปทางอากาศแต่ก็ออกมาจากปอดฟอเร็ตอีกทีไง WHO รู้สึกช้าตลอด ตั้งแต่ตระหนักแล้วว่า ประชาชนต้องใส่แมสเพื่อช่วยป้องกันโคโรน่า ?? หลังจากที่ตายไปครึ่งประเทศอเมริกาละ ทรัมป์ไม่ชอบWHOช้าถึงได้ลดและตัดงบไงแถลงแต่ละที ชาวบ้านเค้ารู้กันหมดแล้ว เปลือ
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `No matter what anyone says, I use a cloth mask because surgical masks don't fit snugly, making it easier for air to get in and out. I've been wearing a double mask since the first and second waves of COVID, and I haven't been infected at all. A good three-layer cloth mask is better than a surgical mask, which the doctor advised is not tight and is too loose.` on topic of `fask masks`",TNN,2021-06-29,"No matter what anyone says, I use a cloth mask because surgical masks don't fit snugly, making it easier for air to get in and out. I've been wearing a double mask since the first and second waves of COVID, and I haven't been infected at all. A good three-layer cloth mask is better than a surgical mask, which the doctor advised is not tight and is too loose.",ใครจะว่ายังใงเราก็ใช้หน้ากากผ้าเพราะ หน้ากาก อนามัยไม่กระชับ หน้าเลยอากาสเข้าออกง่ายกว่าอีก ผมใส่หน้ากากสองชั้นตั้งเเต่โควิทรอบเเรกเเละรอบสองผมไม่มีการติดเชื้ออะไรเลย หน้ากกาผ้าสามชั้นอย่างดี ดีกว่าหน้ากากอนามัยหมอเเนะนำไม่กระชับเเละหลวมใวมาก
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `A few days ago, probably around April 14th, I went to the morning market in Buriram city. Around 6 am, there was no screening at the market entrance. Vendors were wearing masks on their chins, and there were no plastic partitions. People were walking around chaotically, and the food was very expensive... Once was enough.` on topic of `fask masks`",TNN,2021-04-18,"A few days ago, probably around April 14th, I went to the morning market in Buriram city. Around 6 am, there was no screening at the market entrance. Vendors were wearing masks on their chins, and there were no plastic partitions. People were walking around chaotically, and the food was very expensive... Once was enough.",ช่วงวันก่อนน่าจะ14เมษา ไปตลาดเช้าในตัวเมืองบุรีรัมย์ ช่วงหกโมงเช้ายังไม่มีการตรวจคัดกรองอะไรเลยในทางเข้าตลาด แม่ค้าก็ใส่แมสที่คาง ฉากกั้นพลาสติกก็ไม่เห็นจะมี  คนก็เดินวุ่นวาย แถมกับข้าวโคตรแพง... ครั้งเดียวพอ.
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Geez!!  The WHO is so slow. When the new disease first emerged, they said it was just a common cold. In the second round, they said there was no need to wear masks because it was not airborne, only through touch. The third time, they said it was airborne because the virus floats in the air (airborne).  Sigh!! This is the World Health Organization? If you haven't tested it or are not sure, don't...` on topic of `fask masks`",TNN,2021-05-11,"Geez!!  The WHO is so slow. When the new disease first emerged, they said it was just a common cold. In the second round, they said there was no need to wear masks because it was not airborne, only through touch. The third time, they said it was airborne because the virus floats in the air (airborne).  Sigh!! This is the World Health Organization? If you haven't tested it or are not sure, don't...",แหม่ !! ความรู้สึกช้าจัง WHO ตอนเกิดโรคใหม่ๆก็บอกเป็นหวัดธรรมดา พอรอบ2 ก็บอกว่าไม่ต้องสวมแมสไม่ได้ติดทางลมหายใจติดได้โดยการสัมผัสพอครั้งที่3 บอกว่าติดทางลมหายใจเพราะเชื้อล่องลอยในอากาส(air ball) เห้อ !! นี่หรือองค์การอนามัยโลกถ้าไม่ได้ทดลองหรือมั่นใจอย่าม
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I knew it. It wouldn't be any different from bird flu. In conclusion, I have to wear a mask for the rest of my life.` on topic of `fask masks`",TNN,2021-09-24,"I knew it. It wouldn't be any different from bird flu. In conclusion, I have to wear a mask for the rest of my life.",กูว่าล้ะ ต้องไม่ต่างจากไข้หวัดนก สรุปกูต้องใส่แมสตลอดชีวิต
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `A surgical mask, if you pour water on it, the water won't seep through, it can contain water. As for a cloth mask, if you pour water on it, it goes through quickly. Which one do you think is better? But even if you wear a surgical mask, there are often gaps on the face for the virus to pass through. People with thinner faces are more at risk than those with fuller faces.` on topic of `fask masks`",TNN,2021-06-29,"A surgical mask, if you pour water on it, the water won't seep through, it can contain water. As for a cloth mask, if you pour water on it, it goes through quickly. Which one do you think is better? But even if you wear a surgical mask, there are often gaps on the face for the virus to pass through. People with thinner faces are more at risk than those with fuller faces.",หน้ากากอนามัย เทน้ำลงไป น้ำไม่ใหลซึมผ่าน กักเก็บน้ำได้ ส่วนหน้ากากผ้า เทน้ำลงไปใหลผ่านสะดวกอย่างรวดเร็ว คุณว่าอะไรดีกว่ากัน แต่แม้จะใส่หน้ากากอนามัยก็มักจะมีช่องโหว่บนใบหน้าให้เชื้อลอดผ่านได้ ยิ่งคนหน้าตอบเสี่ยงกว่าคนหน้าอวบ
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `In Thailand, people are starting to act up.  They're told to wear a mask, but they make excuses and just do whatever they want.  When you try to tell them or remind them, they get offended and talk back rudely.  Believe me, it will keep spreading because of these selfish, bad-mannered people.` on topic of `fask masks`",TNN,2021-03-10,"In Thailand, people are starting to act up.  They're told to wear a mask, but they make excuses and just do whatever they want.  When you try to tell them or remind them, they get offended and talk back rudely.  Believe me, it will keep spreading because of these selfish, bad-mannered people.",ตอนนี้ในไทยก้เริ่มกวนทีนแร้ะ  บอกให้ปิดแมส ทำแถไปเรื่อย  เริ่มตามสบายใจตัวเองแร้ะ  พอบอกพอเตือนก้ไม่พอใจ  ทำท่าทางปากหมาใส่อีก  เชื่อเหอะมันจะระบาดต่อไปเพราะไอ้พวกเห็นแก่ตัวนิสัยแย่ๆ
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Because foreigners don't wear masks much and the weather is cold, the virus can stay in the air longer. Coupled with people not wearing masks, people are getting infected more quickly.` on topic of `fask masks`",TNN,2020-04-06,"Because foreigners don't wear masks much and the weather is cold, the virus can stay in the air longer. Coupled with people not wearing masks, people are getting infected more quickly.",เพราะฝรั่งไม่ค่อยใส่แมสป้องกัน และอากาศหนาวเย็น เชื้อมันสามารถลอยอยู่ในอากาศได้นาน บวกกับคนไม่ค่อยสวมแมส คนก็ติดเชื้อกันเพิ่มขึ้นอย่างรวดเร็ว
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I'm in Finland, and when I wear a mask, people look at me and smile, like they think I'm a joke.` on topic of `fask masks`",TNN,2020-12-29,"I'm in Finland, and when I wear a mask, people look at me and smile, like they think I'm a joke.",เราอยุ่ฟินแลนด์ใส่แมสฝั่งมองแล้วก็ยิ้มเห็นเราเปินตลกสะแล้ว
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `We might have to start wearing two masks. Even with everyone wearing one, it can't stop the disease.` on topic of `fask masks`",TNN,2021-01-07,"We might have to start wearing two masks. Even with everyone wearing one, it can't stop the disease.",หน้ากากคงต้องใส่2ชั้นแล้วมั้งขนาดใส่กันทุกคนยังเอาโรคไม่อยู่
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I understand that they want people to have confidence in their domestically produced vaccines, so they're showing off that it's not necessary to wear masks. Don't they know that masks are very important?

It doesn't prevent death, it prevents infection, because people are still getting infected. The virus doesn't just disappear.  The virus that doesn't disappear continues to evolve to fight immunity.` on topic of `fask masks`",TNN,2021-07-26,"I understand that they want people to have confidence in their domestically produced vaccines, so they're showing off that it's not necessary to wear masks. Don't they know that masks are very important?

It doesn't prevent death, it prevents infection, because people are still getting infected. The virus doesn't just disappear.  The virus that doesn't disappear continues to evolve to fight immunity.","เข้าใจนะว่าอยากให้คนเชื่อมั่นในวัคซีนที่ผลิตในประเทศตัวเองเลยโชว์โอ้ว่าไม่จำเป็นใส่หน้ากากอนามัย หารู้ไม่ว่าหน้ากากสำคัญมาก 

กันตายไม่ได้กันติด เพราะยังติดกันอยู่ เชื้อมันเลยไม่หายไปไหน เชื้อที่ไม่หายไปก็พัฒนาสายพันธุ์ตัวเองไปเรื่อยๆ เพื่อต่อสู้กับภูมิขอ"
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Thai people are more afraid of COVID than the Thai government. Even though the government has announced the removal of masks across the country, Thai people are still not interested.` on topic of `fask masks`",TNN,2022-08-24,"Thai people are more afraid of COVID than the Thai government. Even though the government has announced the removal of masks across the country, Thai people are still not interested.",คนไทยกลัวโควิดยิ่งกว่า รัฐบาลไทยอีก  ถึงรัฐบาลจะประกาศถอดแมสทั้งประเทศ  แต่คนไทยยังไม่สนใจเลย
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Oh my god, again? Are these infections from the high-so clubs again? Most infections are from Myanmar migrants in the markets, factories, and those who illegally entered the country, as well as from those who party. Honestly, the Myanmar people around these areas never wear masks, and they were the ones who spread the virus. Some even have masks but they wear them on their chins while talking.` on topic of `fask masks`",TNN,2021-04-03,"Oh my god, again? Are these infections from the high-so clubs again? Most infections are from Myanmar migrants in the markets, factories, and those who illegally entered the country, as well as from those who party. Honestly, the Myanmar people around these areas never wear masks, and they were the ones who spread the virus. Some even have masks but they wear them on their chins while talking.",ว้ายยยย อีกแล้วหรือผับแถวย่านไฮโซอีกแล้วการติดเชื้อส่วนมาก  จากพม่าตามตลาดสดและแถวโรงงานและพวกลักลอบเข้าเมือง กับพวกปาร์ตี้  เอาจริงๆพม่าแถวสี่มุมเมืองไม่เคยใส่หน้ากากเลยตั้งที่พวกมันเป็นตัวแพร่เชื้อ  แถมบางคนมีนะหน้ากากแต่เอาใส่ที่คางแล้วคุยกันไปมา
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Some adults don't wear masks, thinking it's easy and nothing will happen.` on topic of `fask masks`",TNN,2020-11-05,"Some adults don't wear masks, thinking it's easy and nothing will happen.",ผู้ใหญ่บางคนก้อมัยใส่แมสมั่กง่ายคิดว่ามัยมีรัย
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Take care of yourself as best as you can. No one can help us anymore, we have to help ourselves by wearing a mask at all times.` on topic of `fask masks`",TNN,2022-12-04,"Take care of yourself as best as you can. No one can help us anymore, we have to help ourselves by wearing a mask at all times.",ดูแลตัวเองให้ดีที่สุดค่ะไม่มีใครช่วยเราได้แล้วต้องช่วยตัวเองใส่แมสตลอด
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Some people still think that being vaccinated means they can't get infected and don't need to wear a mask. You're wrong! Vaccination is for reducing the severity of the infection and preventing the spread to others. These people, if infected, don't deserve treatment.` on topic of `fask masks`",TNN,2021-02-03,"Some people still think that being vaccinated means they can't get infected and don't need to wear a mask. You're wrong! Vaccination is for reducing the severity of the infection and preventing the spread to others. These people, if infected, don't deserve treatment.",คนบางคนยังคิดว่าฉีดแล้วไม่เป็นไรแมสไม่ใส่มึงเข้าใจผิดนะฉีดวัคซีนเพื่อไม่ให้รุนแรงเวลาติดและไม่แพร่เชื้อต่อคนอื่นคนพวกนี้ถ้ามันติดแล้วไม่สมควรรักษาให้มัน
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Since the beginning of COVID last year, I've been wearing a mask and strictly protecting myself, but people laughed at me, even my boss. In the end, the people who laughed at me got COVID, their whole family.` on topic of `fask masks`",TNN,2021-03-10,"Since the beginning of COVID last year, I've been wearing a mask and strictly protecting myself, but people laughed at me, even my boss. In the end, the people who laughed at me got COVID, their whole family.",เริ่มโควิดปีที่แล้ว เราใส่แมสและป้องกันตัวเองอย่างเคร่งครัด มีแต่คนหัวเราะแม้กรัทั่งหัวหน้าที่ทำงาน สุดท้ายคนที่เคยหัวเราะเรา ติดโควิดกันทั้งครอบครัว
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Thailand is stronger than you think.  We've been living with PM2.5 for so long that we don't need masks anymore. Importantly, CP has started playing games with the government. As soon as they announced masks as controlled goods, suddenly all 7-Elevens stopped stocking them. During the new outbreak, many people panicked. Masks were sold out everywhere else, but 7-Eleven still had them. But now....` on topic of `fask masks`",TNN,2020-02-28,"Thailand is stronger than you think.  We've been living with PM2.5 for so long that we don't need masks anymore. Importantly, CP has started playing games with the government. As soon as they announced masks as controlled goods, suddenly all 7-Elevens stopped stocking them. During the new outbreak, many people panicked. Masks were sold out everywhere else, but 7-Eleven still had them. But now....",ประเทศไทนแกร่งกว่าที่คิดอยู่กับpm2.5 มาจนไม่ต้องใส่หน้ากากแล้วทุกวันนี้  ที่สำคัญตอนนี้เจ้าซัวเริ่มเล่นเกมส์ ร่วมกับรัฐบาลแระ ประกาศหน้ากากเป็นสินค้าควบคุมปุ๊บ ทุก7-11ไม่ลงของสะงั้น ตอนโรคระบาดใหม่คนตกใจเยอะแยะ ที่อื่นไม่มีขายแต่7-11มี พอตอนนี้....
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `Why aren't they wearing a mask?` on topic of `fask masks`,TNN,2021-01-27,Why aren't they wearing a mask?,ทำไมไม่ใส่แมสกัน
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Wear a mask, wash your hands, keep your distance, and you'll be able to live with COVID.` on topic of `fask masks`",TNN,2021-09-12,"Wear a mask, wash your hands, keep your distance, and you'll be able to live with COVID.","ใส่แมส,ล้างมือ,เว้นระยะห่าง ถึงจะอยู่กับโควิดได้"
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Looking at the picture, no one's wearing a mask. It's probably going to be hard to control.` on topic of `fask masks`",TNN,2021-02-20,"Looking at the picture, no one's wearing a mask. It's probably going to be hard to control.",ดูภาพหน้ากากไม่ใส่ มันคงอยากที่ควบคุม
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Those who are vaccinated are the worst. They stop protecting themselves. When they go out, they don't wear masks at all.` on topic of `fask masks`",TNN,2021-11-20,"Those who are vaccinated are the worst. They stop protecting themselves. When they go out, they don't wear masks at all.",ไอ้พวกฉีดน่ะตัวดี เริ่มไม่ป้องกันตัวเอง ไปไหนนี่หน้าลอยไม่สวมแมสเลย
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I didn't get vaccinated, I got tested and the result was negative.
I didn't get infected. I eat spicy papaya salad every meal and I didn't get infected.
 
I've never worn a mask since 

the outbreak.` on topic of `fask masks`",TNN,2021-11-20,"I didn't get vaccinated, I got tested and the result was negative.
I didn't get infected. I eat spicy papaya salad every meal and I didn't get infected.
 
I've never worn a mask since 

the outbreak.","กู ไม่ ฉีด ตรวจ แล้ว ผล ลบ 
ไม่ ติด แดก เจ ทุกมื้อ ไม่ ติด 

หน้ากาก ไม่ เคยใส่ ตั้งแต่ 

ระบาด"
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Taking off the mask isn't that important. What I really want to know right now is, are people who are in Europe allowed to enter Thailand normally? And about the Thai Pass, I haven't seen anyone talking about it, whether it's canceled or not. This is the most important thing. I haven't seen any news about it. I really want to go back to Thailand.` on topic of `fask masks`",TNN,2022-05-24,"Taking off the mask isn't that important. What I really want to know right now is, are people who are in Europe allowed to enter Thailand normally? And about the Thai Pass, I haven't seen anyone talking about it, whether it's canceled or not. This is the most important thing. I haven't seen any news about it. I really want to go back to Thailand.",ถอดหน้ากากมันไม่สำคัญเท่าไหร่หรอก ที่สำคัญอยากรู้มากที่สุด ณ เวลานี้คือ คนที่อยู่ยุโรปเข้าเมืองไทยได้ปกติหรือยัง  แล้วก็เรื่องThai Pass  ไม่เห็นใครพูดถึงเลย ว่ายกเลิก หรือยัง  อันนี้สำคัญมากที่สุดไม่เห็นมีข่าวออกมาเลย กูอยากกลับเมืองไทยเต็มทนแล้วโว้ย
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `It would be better to wear a gas mask, it's easier to breathe than in a 2-layer mask. But if you go out, it will become a highlight, people will probably look a lot.` on topic of `fask masks`",TNN,2021-02-04,"It would be better to wear a gas mask, it's easier to breathe than in a 2-layer mask. But if you go out, it will become a highlight, people will probably look a lot.",ซื้อหน้ากากกันแก๊สมาใส่ดีกว่า หายใจสะดวกกว่าในหน้าอนามัน2ชั้นเยอะ แต่ไปไหนมาไหนจะกลายเป็นจุดเด่น คนน่าจะมองเยอะ
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Yesterday, May 2nd, 2021, I went to a mall and saw about two Indian families shopping. They were wearing their masks under their chins. One family had three members – father, mother, and child. The parents were scolding their child for crying loudly. Seeing them made me think that they're probably not the ones who just fled COVID from India.` on topic of `fask masks`",TNN,2021-05-02,"Yesterday, May 2nd, 2021, I went to a mall and saw about two Indian families shopping. They were wearing their masks under their chins. One family had three members – father, mother, and child. The parents were scolding their child for crying loudly. Seeing them made me think that they're probably not the ones who just fled COVID from India.",เมิ่อวาน 2พ.ค.64 ไปห้างๆหนึ่ง เห็นชาวอินเดีย ประมาณ2ครอบครัว เดินซื้อของ แถมใส่แมสไว้ใต้คางด้วย ครอบครัวหนึ่งมี3คนพ่อแม่ลูก ด่าลูกที่งอแงเสียงดังเลยทีเดียว เห็นแล้วทำให้นึกว่า คงไม่ใช่พวกที่หนีโควิดมาจากอินเดียสดๆร้อนๆนะ
